rg,rn,ta,vpd,swc,ts,rh,pm2_5,pm2_5_raw,pm2_5_pred
1.23807,-76.8239,5.465,715.277,0.169837,2.593,12.9315,69.1145,,
1.23553,-80.9306,5.685,732.02,0.170305,2.6,12.2704,69.03445,,
1.23919,-78.9709,5.113,699.296,0.170349,2.6,12.8055,68.9544,,
1.22801,-79.6791,5.057,695.06,0.170157,2.6,12.7532,62.62955,,
1.2303,-79.1643,4.958,698.794,0.170091,2.6,11.6364,56.3047,,
1.24875,-71.2338,0.777,474.367,0.1695,2.693,21.0246,56.2237,,
1.24005,-73.0803,0.595,474.247,0.169882,2.7,19.7004,56.1427,,
1.23349,-71.8917,0.381,465.999,0.170018,2.7,19.7838,49.7434,,
1.23554,-74.0255,2.204,562.803,0.170255,2.7,14.6049,43.3441,,
1.23879,-71.1859,3.009,607.02,0.170045,2.7,12.99,43.26375,,
1.23779,-70.3688,1.798,533.446,0.169854,2.7,16.0567,43.1834,,
1.23655,-70.7353,1.293,520.117,0.169794,2.7,16.0261,36.8364,,
1.25178,-70.1487,1.962,548.496,0.169998,2.7,15.3011,30.4894,,
1.24008,-69.8096,1.75,536.668,0.170348,2.7,15.7187,30.4368,,
1.24082,-69.9853,1.578,528.23,0.169952,2.7,16.1018,30.3842,,
1.22978,-70.2746,2.065,547.719,0.170281,2.7,15.8851,26.23055,,
1.23972,-68.7089,1.819,536.439,0.170118,2.7,16.4185,22.0769,,
1.2433,-69.2553,1.727,524.805,0.169864,2.7,17.1475,22.0462,,
1.24594,-66.6354,-0.435,431.745,0.169982,2.7,21.0271,22.0155,,
1.24714,-69.0996,0.325,466.79,0.170175,2.7,19.529,19.58925,,
1.23442,-67.6546,0.809,478.151,0.170125,2.7,19.2463,17.163,,
1.25172,-66.5715,-0.461,436.882,0.169995,2.7,20.7928,17.138199999999998,,
1.23607,-65.8349,-0.094,445.822,0.170046,2.7,20.6935,17.1134,,
1.2669,-64.607,0.082,443.178,0.169987,2.7,21.4104,15.15305,,
7.58264,-58.9916,-1.285,394.956,0.170744,2.7,23.8136,13.1927,,
31.2356,-34.8285,0.067,447.468,0.169998,2.7,21.4515,13.18145,,
60.6154,-3.48593,1.088,498.439,0.170579,2.7,19.7031,13.1702,,
100.634,49.9773,0.48,464.712,0.16955,2.7,22.9648,12.27945,,
131.971,86.1918,-0.138,449.532,0.169895,2.607,24.6869,11.3887,,
280.551,223.521,1.065,534.996,0.170022,2.6,21.4881,11.38715,,
278.859,210.476,2.984,607.466,0.169897,2.6,18.8733,11.3856,,
318.318,248.882,2.693,616.194,0.169871,2.6,18.4385,11.2623,,
387.021,322.979,3.508,647.21,0.170083,2.6,17.9103,11.139,,
267.686,200.351,3.34,628.357,0.170138,2.6,18.3674,11.1403,,
180.506,133.795,3.124,608.046,0.169681,2.6,18.2067,11.1416,,
251.635,174.79,3.594,632.682,0.170257,2.6,18.0557,11.24375,,
369.467,262.32,4.443,678.658,0.169858,2.6,17.7688,11.3459,,
396.555,291.735,5.303,758.979,0.170087,2.6,15.4095,11.35675,,
274.299,206.263,5.871,777.277,0.169594,2.6,14.6075,11.3676,,
238.427,140.608,6.162,773.954,0.170046,2.6,14.8793,12.22405,,
140.128,32.2565,6.154,760.143,0.170147,2.6,14.6756,13.0805,,
60.4305,-31.9379,5.702,727.172,0.170071,2.627,15.5538,13.098,,
19.7745,-58.3374,5.149,676.664,0.170203,2.7,17.0116,13.1155,,
2.71295,-68.274,3.514,588.453,0.17044,2.7,18.9235,14.14715,,
1.246,-61.8503,2.747,556.304,0.169808,2.7,19.5711,15.1788,,
1.25994,-56.1433,2.478,541.703,0.170357,2.727,20.2595,15.2035,,
